Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
03-03-2023,2022,EQNR,Equinor ASA,Suncor Energy UK Ltd,Suncor Energy Inc,882.48,,17-02-2023,25.03,13-03-2023,23.68,69298.09,1.69,11434603.14,Completed
02-03-2023,2022,PLUG,Plug Power Inc,Alloy Custom Products LLC,Cryogenic Industrial Solutions LLC,,,17-02-2023,15.58,13-03-2023,12.4,12451.91,-4.47,17435.663,Completed
02-03-2023,2022,PLUG,Plug Power Inc,WesMor Cryogenics LLC,Cryogenic Industrial Solutions LLC,,,17-02-2023,15.58,13-03-2023,12.4,12451.91,-4.47,17435.663,Completed
28-02-2023,2022,REPX,Riley Exploration Permian Inc,Oil & gas assets/Pecos Oil & Gas LLC,Pecos Oil & Gas LLC,330,,17-02-2023,28.54,10-03-2023,30.18,598.36,2.57,46928.06543,Completed
16-02-2023,2022,DNOW,DNOW Inc,EcoVapor Recovery Systems LLC,,,,03-02-2023,13.89,27-02-2023,12.76,1455.31,1.42,19243,Completed
15-02-2023,2022,VTLE,Vital Energy Inc,Driftwood Energy Operating LLC,,212.94,,03-02-2023,52.92,27-02-2023,52.15,2107.74,-6.11,386367.84,Completed
06-02-2023,2022,GLNG,Golar LNG Ltd,2.4 MTPA floating liquefaction facility,New Fortress Energy Inc,193.72,,26-01-2023,21.85,16-02-2023,21.67,2242.52,-0.8,777147.646,Completed
24-01-2023,2022,MTDR,Matador Resources Co,Advance Energy Partners Holdings LLC,EnCap Investments LP,1600,,13-01-2023,58.07,03-02-2023,60.17,7689.26,1.98,973869,Completed
18-01-2023,2022,SHEL,Shell PLC,Volta Inc,,149.16,,06-01-2023,52.3,30-01-2023,53.36,160284.78,1.09,41006166.52,Completed
18-01-2023,2022,DUK,Duke Energy Corp,Pike Engineering LLC,,,,06-01-2023,95.9,30-01-2023,92.67,72389.96,0.65,78800000,Completed
