Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2021-05-12,2020,D,Dominion Energy Inc,14172.000000,14575889.350000,2673.081600,Brown,Birdseye Renewable Energy LLC,Green,BRE Holdings LLC,28.000000,,2021-05-07,65.790000,2021-05-17,65.130000,-0.990000,Completed,3.871704,-4.861704,-0.023170,0.004766,7.891361
2021-05-12,2020,DTE,DTE Energy Co,11423.000000,20962000.490000,1907.476600,Brown,Isabella Wind I and II projects/Isabella County,Green,Greenlight Energy Resources Inc,,,2021-05-07,105.800000,2021-05-17,105.110000,-0.650000,Completed,3.871704,-4.521704,-0.017370,0.003841,7.554061
2021-04-22,2020,AEP,American Electric Power Co Inc,14918.500000,25012316.500000,3035.829000,Brown,100 MW Dry Lake Solar Project,Green,,114.000000,,2021-04-16,76.300000,2021-04-26,75.480000,-1.070000,Completed,-1.906147,0.836147,0.004195,0.005017,8.018569
2021-04-19,2020,XIFR,XPLR Infrastructure LP,917.000000,48471.850000,5.287000,Green,Portfolio of 4 operating wind assets/US,Green,Brookfield Renewable Partners LP,733.000000,,2021-04-15,55.750000,2021-04-22,54.880000,-1.560000,Completed,-4.228483,2.668483,0.000823,0.000308,1.838484
2020-12-15,2019,GTLS,Chart Industries Inc,1215.500000,43255.520000,35.586600,Brown,Sustainable Energy Solutions Inc,Green,,20.000000,,2020-12-11,114.240000,2020-12-18,111.980000,-1.980000,Completed,-5.288479,3.308479,0.001352,0.000409,3.599682
2020-12-08,2019,LGO,Largo Inc,105.530000,12749.310000,120.817000,Brown,Certain assets/Vionx Energy Corp,Green,Vionx Energy Corp,,,2020-12-04,9.400000,2020-12-11,12.400000,31.910000,Completed,5.738392,26.171608,0.000929,0.000035,4.802520
2020-12-04,2019,PEG,Public Service Enterprise Group Inc,10076.000000,13378211.190000,1500.362100,Brown,Ocean Wind Project/NJ,Green,Orsted AS,,,2020-11-30,50.040000,2020-12-07,49.400000,-1.290000,Completed,2.010011,-3.300011,-0.011182,0.003388,7.314128
2020-10-15,2019,HON,Honeywell International Inc,36709.000000,1090292.650000,91.263900,Brown,Unmanned Aerial Vehicle business/Ballard Power Systems Inc,Green,Ballard Power Systems Inc,,,2020-10-09,159.310000,2020-10-19,156.760000,-1.600000,Completed,-5.560891,3.960891,0.048897,0.012345,4.524653
2020-08-25,2019,SOL,Emeren Group Ltd,119.120000,21994.750000,184.648300,Brown,Solar projects & accounts receivable/US,Green,,3.800000,,2020-08-21,1.980000,2020-08-28,2.210000,11.620000,Completed,0.496444,11.123556,0.000446,0.000040,5.223854
2020-08-18,2019,AEP,American Electric Power Co Inc,15561.400000,32656881.960000,3035.829000,Brown,Desert Sky & Trent Mesa wind facilities,Green,Invenergy Renewables LLC,,,2020-08-14,70.240000,2020-08-21,66.960000,-4.670000,Completed,-4.758136,0.088136,0.000461,0.005233,8.018569
2020-08-17,2019,D,Dominion Energy Inc,14401.000000,25578454.270000,2673.081600,Brown,62.5 MW Madison Solar generating facility/Virginia,Green,Cypress Creek Renewables LLC,,,2020-08-13,64.620000,2020-08-20,63.310000,-2.030000,Completed,-6.013482,3.983482,0.019292,0.004843,7.891361
2020-08-06,2019,CMS,CMS Energy Corp,6624.000000,13509175.080000,996.539600,Brown,525 MW Aviator Wind project,Green,Ares Management Corp,,,2020-07-31,55.580000,2020-08-10,54.950000,-1.130000,Completed,5.883993,-7.013993,-0.015624,0.002228,6.905292
2020-07-30,2019,CMS,CMS Energy Corp,6624.000000,13509175.080000,996.539600,Brown,Aviator Wind Energy Project,Green,Ares Management LLC,,,2020-07-24,55.020000,2020-08-03,54.530000,-0.880000,Completed,-4.135745,3.255745,0.007252,0.002228,6.905292
