Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
28-07-2021,4YJ0.MU,Spartan Delta Corp,Velvet Energy Ltd,"ZAM Ventures LP,Trilantic Capital Management LP (Fund: Trilantic Capital Partners IV Global LP),Warburg Pincus LLC (Fund: Warburg Pincus Private Equity X LP),Unknown Seller",740.37,,Completed,Spartan Delta Corp
27-07-2021,FOBIF,FOBI AI INC,Qples Inc,,1.22,,Completed,FOBI AI INC
27-07-2021,HGHAF,High Arctic Energy Services Inc,17 modern hydraulic catwalks,,0.87,,Completed,High Arctic Energy Services Inc
27-07-2021,SHEL,Shell PLC,Inspire Energy Capital LLC,,,,Completed,Shell PLC
23-07-2021,ACX.TO,ACT Energy Technologies Ltd,Directional drilling business/Precision Drilling Corp,Precision Drilling Corp,514.85,,Completed,ACT Energy Technologies Ltd
23-07-2021,ACX.TO,ACT Energy Technologies Ltd,Sitka Exploration Ltd,,,,Completed,ACT Energy Technologies Ltd
23-07-2021,DUK,Duke Energy Corp,CNG fueling station/South Carolina,Spire Inc,,,Completed,Duke Energy Corp
22-07-2021,ARGYF,Avanti Helium Corp,15 new Montana gross sections,,,,Completed,Avanti Helium Corp
21-07-2021,PNG.V,Kraken Robotics Inc,PanGeo Subsea Inc,"Cahill Innovation Inc,Argentum Asset Management AS",23,,Completed,Kraken Robotics Inc
21-07-2021,MSFT,Microsoft Corp,CloudKnox Security Inc,"Dell Ventures LP (Fund: Dell Strategic Innovation Venture Fund),Unknown Seller,Foundation Capital LLC (Fund: Foundation Capital VIII LP),Sorenson Capital (Fund: Sorenson Ventures LP),NextEra Energy Inc (Fund: Clearsky Security Fund I LLC),Wipro Ventures Ltd (Fund: Wipro Venture Capital Fund I...",,,Completed,Microsoft Corp
19-07-2021,LOMEF,Lithium One Metals Inc,450 hectare Parkview claims/Newfoundland,,0.22,,Completed,Lithium One Metals Inc
19-07-2021,AEPT,American Energy Partners Inc,Unlimited Energy Services LLC,,,,Completed,American Energy Partners Inc
