institutionid,periodenddate,GHG_Emissions,Ticker
4010869,31-12-2015,173556.5501,PTEN
4010869,31-12-2016,90235.61711,PTEN
4010869,31-12-2017,200653.7296,PTEN
4010869,31-12-2018,279662.8355,PTEN
4010869,31-12-2019,235552.3478,PTEN
4010869,31-12-2020,134439.391,PTEN
4010869,31-12-2021,152655.081,PTEN
4010869,31-12-2022,272020.562,PTEN
4010869,31-12-2023,353049.125,PTEN
4010876,31-12-2013,1787013.626,OBE
4010876,31-12-2014,1356304.665,OBE
4010876,31-12-2015,555320.14,OBE
4010876,31-12-2016,481681.711,OBE
4010876,31-12-2017,380091.791,OBE
4010876,31-12-2018,334249.708,OBE
4010876,31-12-2019,269507.41,OBE
4010876,31-12-2020,85831.814,OBE
4010876,31-12-2021,266000,OBE
4010876,31-12-2022,232591.173,OBE
4010876,31-12-2023,141520.407,OBE
4011025,31-12-2013,73441901.22,SHEL
4011025,31-12-2014,76204072.9,SHEL
4011025,31-12-2015,71999834.78,SHEL
4011025,31-12-2016,70413000.75,SHEL
4011025,31-12-2017,73408998.72,SHEL
4011025,31-12-2018,70604699.83,SHEL
4011025,31-12-2019,69611200.57,SHEL
4011025,31-12-2020,63045000,SHEL
4011025,31-12-2021,91000000,SHEL
4011025,31-12-2022,82000000,SHEL
4011025,31-12-2023,81042000,SHEL
4011069,31-12-2013,603410.8997,SM
4011069,31-12-2014,642990.3221,SM
4011069,31-12-2015,370707.9734,SM
4011069,31-12-2016,513346.283,SM
4011069,31-12-2017,599790.8791,SM
4011069,31-12-2018,675459.4456,SM
4011069,31-12-2019,775678,SM
4011069,31-12-2020,477808,SM
4011069,31-12-2021,578309,SM
4011069,31-12-2022,454538,SM
4011069,31-12-2023,484493,SM
4011073,31-12-2013,18982272.04,SU
4011073,31-12-2014,18957326.73,SU
4011073,31-12-2015,19106729.12,SU
4011073,31-12-2016,17430852.64,SU
4011073,31-12-2017,18509319.32,SU
4011073,31-12-2018,20576955.72,SU
4011073,31-12-2019,21432134.15,SU
4011073,31-12-2020,19564861,SU
4011073,31-12-2021,21556275.12,SU
4011073,31-12-2022,33515277,SU
4011073,31-12-2023,20188392.32,SU
4011129,31-12-2013,46083645.61,TTE
4011129,31-12-2014,44371102.13,TTE
4011129,31-12-2015,41752429.9,TTE
4011129,31-12-2016,39399999.9,TTE
4011129,31-12-2017,36255632.28,TTE
