Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2017-05-08,2016,TDS,Telephone and Data Systems Inc,Sun Prairie telecommunication assets,Sun Prairie Utilities,,,2017-04-27,21.05,2017-05-18,20.28,2260.23,0.04,22016.33,Completed,Neutral,Brown,9.7407
2017-05-04,2016,NVEE,NV5 Global Inc,Energenz LLC,,,,2017-04-21,9.4,2017-05-15,9.3,622.92,0.41,1678.27,Completed,Neutral,Green,2.6942
2017-05-03,2016,NVAX,NOV Inc,Drilling Technologies segment,Flotek Industries Inc,17.0,,2017-04-21,16.6,2017-05-15,21.8,2509.17,-7.08,339.45,Completed,Neutral,Green,0.1353
2017-05-02,2016,XIFR,XPLR Infrastructure LP,Golden West Wind Holdings LLC,,422.0,,2017-04-21,20.95,2017-05-12,21.77,2103.31,-0.56,25553.45,Completed,Green,Brown,12.1492
2017-05-01,2016,XOM,Exxon Mobil Corp,Certain Assets,Paramount Resources TEC Ltd,43.91,,2017-04-20,56.12,2017-05-11,57.77,246669.15,1.68,120041438.1,Completed,Neutral,Brown,486.6496
2017-05-01,2016,PR,Permian Resources Corp,Oil & gas properties/Northern Delaware Basin,GMT Exploration Co LLC/CO,,,2017-04-20,16.22,2017-05-11,14.85,10310.2,1.28,43054.61,Completed,Brown,Green,4.1759
2017-04-28,2016,ETR,Entergy Corp,361 MW natural gas-fueled electrical generation plant,Calpine Corp,222.0,,2017-04-17,24.69,2017-05-08,24.69,9893.35,0.44,35189216.57,Completed,Brown,Brown,3556.8555
2017-04-26,2016,GPRE,Green Plains Inc,2 Cattle feeding operations,Cargill Inc,36.7,,2017-04-13,21.28,2017-05-08,24.1,1429.41,-3.08,1274854.59,Completed,Neutral,Brown,891.8747
2017-04-25,2016,CHRD,Chord Energy Corp,North Star Water LLC,,,,2017-04-13,8.61,2017-05-05,7.87,484.99,1.62,278103.31,Completed,Neutral,Brown,573.4207
2017-04-12,2016,D,Dominion Energy Inc,40-megawatt Midway II Project solar power plant,Solar Frontier KK,,,2017-03-31,54.71,2017-04-24,55.07,46835.88,-0.07,32679003.94,Completed,Green,Brown,697.7344
2017-03-29,2016,CVE,Cenovus Energy Inc,Canadian conventional natural gas assets,ConocoPhillips,13196.47,,2017-03-17,10.9,2017-04-10,9.93,21003.97,0.26,6490806.49,Completed,Brown,Brown,309.0276
2017-03-24,2016,AEP,American Electric Power Co Inc,Conesville power plant/Ohio,Dynegy Inc,,,2017-03-13,49.55,2017-04-03,50.55,27213.38,0.64,49727182.45,Completed,Neutral,Brown,1827.3064
2017-03-23,2016,TUSK,Mammoth Energy Services Inc,Chieftain Sand & Proppant LLC,,36.0,,2017-03-10,18.44,2017-04-03,21.09,945.6,-5.43,4202.87,Completed,Neutral,Green,4.4447
2017-03-21,2016,TUSK,Mammoth Energy Services Inc,Sturgeon Acquisitions LLC,"Gulfport Energy Operating Corp,Wexford Capital LP,Rhino Resource Partners LP",,,2017-03-10,18.44,2017-03-31,21.04,925.83,-5.43,4202.87,Completed,Neutral,Green,4.5396
2017-03-15,2016,EPD,Enterprise Products Partners LP,Azure natural gas gathering system,Azure Midstream Partners LP,189.0,,2017-03-03,15.71,2017-03-27,15.04,33173.8,1.89,947.13,Completed,Brown,Green,0.0286
2017-03-13,2016,NEXT,NextDecade Corp,NextDecade LLC,"York Capital Management LP,Valinor Management LP,Halcyon Energy Corp Pte Ltd",,,2017-03-02,10.15,2017-03-23,10.2,2656.51,1.03,123.22,Completed,Neutral,Green,0.0464
2017-03-07,2016,BN,Brookfield Corp,TerraForm Power Inc,,4724.71,17.98,2017-02-24,17.95,2017-03-17,17.96,26879.61,0.01,522582.23,Completed,Neutral,Brown,19.4416
2017-03-07,2016,BN,Brookfield Corp,TerraForm Global Inc,,954.09,11.64,2017-02-24,17.95,2017-03-17,17.96,26879.61,0.01,522582.23,Completed,Neutral,Brown,19.4416
2017-03-07,2016,EXTR,Extreme Networks Inc,Networking business of Avaya,Avaya Holdings Corp,100.0,,2017-02-24,6.44,2017-03-17,6.71,809.81,0.68,7344.56,Completed,Neutral,Green,9.0695
2017-03-02,2016,FANG,Diamondback Energy Inc,Brigham Resources LLC,"Yorktown Partners LLC (Fund: Yorktown Energy Partners IX LP),Warburg Pincus LLC (Fund: Warburg Pincus Private Equity XI LP),Pine Brook Road Partners LLC (Fund: Pine Brook Capital Partners II LP)",2550.0,,2017-02-17,85.59,2017-03-13,80.53,23896.84,1.6,229623.57,Completed,Neutral,Brown,9.609
2017-03-01,2016,MPLX,MPLX LP,Certain terminal pipeline & storage assets,Marathon Petroleum Corp,2015.0,,2017-02-17,18.08,2017-03-13,17.33,18382.68,2.93,305794.17,Completed,Neutral,Brown,16.6349
